name,rows,cols,nnzs,sparsity,cuSPARSE(ms),cuSPARSE(GFLOPS)
bcsstk18,11948,11948,149090,0.0010443788948628972,2.43044,31.41
sinc15,11532,11532,568526,0.004275048669410032,0.24553,1185.53
lowThrust_5,16262,16262,198369,0.0007501116154467339,0.10213,994.49
lowThrust_7,17378,17378,211561,0.0007005449800931065,0.11262,961.80
conf5_4-8x8-15,49152,49152,1916928,0.00079345703125,0.73281,1339.33
wing_nodal,10937,10937,150976,0.0012621515083574108,0.08026,963.09
g7jac040sc,11790,11790,114671,0.000824946890055761,0.07577,774.87
nopoly,10774,10774,70842,0.0006102908675806483,0.05838,621.32
usps_norm_5NN,11000,11000,81112,0.0006703471074380166,0.06360,652.98
tsyl201,20685,20685,2454957,0.005737633969818699,0.86994,1444.86
bbmat,38744,38744,1771722,0.0011802843969227594,0.67401,1345.86
ted_A,10605,10605,424587,0.003775246791197608,0.15682,1386.21
